run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,subset_fraction,twirling_enabled,bloch_r_init,bloch_r_final
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0001532244788682,0.8999999999999997,0.9998467755211315,0.8199999999999992,0.9996935979977452,1.1109408616901466,14,7,2,0.2,True,0.7999999999999996,0.9996935510422634
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,2.3230611024596186e-08,0.8999999999999997,0.9999999767693888,0.8199999999999992,0.9999999535387792,1.1111110852993211,21,7,3,0.2,True,0.7999999999999996,0.999999953538778
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,4.710277376051325e-16,0.8999999999999997,0.9999999999999994,0.8199999999999992,0.9999999999999992,1.111111111111111,28,7,4,0.2,True,0.7999999999999996,0.9999999999999992
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0,0.8999999999999997,1.0,0.8199999999999992,1.0,1.1111111111111114,35,7,5,0.2,True,0.7999999999999996,1.0
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0,0.8999999999999997,1.0,0.8199999999999992,1.0,1.1111111111111114,42,7,6,0.2,True,0.7999999999999996,1.0
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0,0.8999999999999997,1.0,0.8199999999999992,1.0,1.1111111111111114,49,7,7,0.2,True,0.7999999999999996,1.0
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0,0.8999999999999997,1.0,0.8199999999999992,1.0,1.1111111111111114,56,7,8,0.2,True,0.7999999999999996,1.0
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0,0.8999999999999997,1.0,0.8199999999999992,1.0,1.1111111111111114,63,7,9,0.2,True,0.7999999999999996,1.0
M1_N128_dephase_z_iid_p_p0.90000_twirl_sub0.20,1,128,dephase_z,iid_p,0.9,0.9,0.0999999999999999,0.0,0.8999999999999997,1.0,0.8199999999999992,1.0,1.1111111111111114,70,7,10,0.2,True,0.7999999999999996,1.0
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9253815112908912,0.0100000000000001,0.0746184887091075,0.9801999999999992,0.8618988602962455,7.46184887091067,0,8,0,0.2,True,0.9799999999999996,0.8507630225817846
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9998958658741178,0.0100000000000001,0.0001041341258818,0.9801999999999992,0.9997917534360684,0.0104134125881892,8,8,1,0.2,True,0.9799999999999996,0.999791731748236
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999895897532,0.0100000000000001,1.0410246276126855e-08,0.9801999999999992,0.9999999791795072,1.041024627612673e-06,16,8,2,0.2,True,0.9799999999999996,0.9999999791795072
M1_N256_dephase_z_iid_p_p0.01000_twirl_sub0.20,1,256,dephase_z,iid_p,0.01,0.01,0.9899999999999994,0.9999999999999996,0.0100000000000001,5.551115123125783e-17,0.9801999999999992,0.9999999999999996,5.551115123125717e-15,24,8,3,0.2,True,0.9799999999999996,0.9999999999999996
