run_id,iteration,merge_num,M,depth,copies_used,N_so_far,noise,mode,p,p_channel,P_success,grover_iters,twirling_applied,subset_fraction,purification_level,fidelity,eps_L,purity,bloch_r,fidelity_before_noise,fidelity_after_noise,eps_L_before_noise,eps_L_after_noise,purity_before_noise,purity_after_noise
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,0,1,1,dephase_z,iid_p,0.1,0.1,1.0,0,True,0.2,0,0.8999999999999994,0.1,0.8199999999999992,0.7999999999999996,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,1,2,2,dephase_z,iid_p,0.1,0.1,0.8199999999999992,0,True,0.2,1,0.9878048780487804,0.0121951219512193,0.9759071980963714,0.9756097560975612,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,2,4,4,dephase_z,iid_p,0.1,0.1,0.6561999999999988,0,True,0.2,2,0.999847607436757,0.0001523925632427,0.9996952613205008,0.9996952148735142,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,3,8,8,dephase_z,iid_p,0.1,0.1,0.4304672199999984,0,True,0.2,3,0.9999999767694272,2.3230572410160025e-08,0.999999953538856,0.999999953538855,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,4,16,16,dephase_z,iid_p,0.1,0.1,0.1853020188851828,0,True,0.2,4,0.9999999999999992,3.3306690738754696e-16,0.9999999999999992,0.9999999999999992,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,5,32,32,dephase_z,iid_p,0.1,0.1,0.0343368382029246,0,True,0.2,5,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,6,64,64,dephase_z,iid_p,0.1,0.1,0.0011790184577738,0,True,0.2,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,7,128,128,dephase_z,iid_p,0.1,0.1,1.3900845237713655e-06,0,True,0.2,7,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,8,256,256,dephase_z,iid_p,0.1,0.1,1.9323349832286657e-12,0,True,0.2,8,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,9,512,512,dephase_z,iid_p,0.1,0.1,3.7339184874093324e-24,0,True,0.2,9,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.10000_twirl_sub0.20,1,0,1,10,1024,1024,dephase_z,iid_p,0.1,0.1,1.3942147270617204e-47,0,True,0.2,10,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.8999999999999994,0.0,0.1,0.9999999999999996,0.8199999999999992
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,0,1,1,dephase_z,iid_p,0.2,0.2,1.0,0,True,0.2,0,0.7999999999999995,0.2,0.6799999999999994,0.5999999999999996,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,1,2,2,dephase_z,iid_p,0.2,0.2,0.6799999999999994,0,True,0.2,1,0.9411764705882352,0.0588235294117646,0.889273356401384,0.8823529411764706,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,2,4,4,dephase_z,iid_p,0.2,0.2,0.4111999999999992,0,True,0.2,2,0.9961089494163424,0.0038910505836574,0.992248179381974,0.9922178988326849,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,3,8,8,dephase_z,iid_p,0.2,0.2,0.1677747199999993,0,True,0.2,3,0.9999847414437644,1.5258556235298038e-05,0.9999694833531764,0.9999694828875292,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,4,16,16,dephase_z,iid_p,0.2,0.2,0.0281474976776189,0,True,0.2,4,0.9999999997671692,2.328305326315672e-10,0.9999999995343388,0.9999999995343388,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,5,32,32,dephase_z,iid_p,0.2,0.2,0.0007922816251426,0,True,0.2,5,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
M1_N2_dephase_z_iid_p_p0.20000_twirl_sub0.20,1,0,1,6,64,64,dephase_z,iid_p,0.2,0.2,6.27710173538649e-07,0,True,0.2,6,0.9999999999999998,1.1102230246251563e-16,1.0,1.0,0.9999999999999996,0.7999999999999995,0.0,0.2,0.9999999999999996,0.6799999999999994
