run_id,M,N,noise,mode,p,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,purity_init,purity_final,error_reduction_ratio,max_depth,iterations,purification_level,twirling_enabled,bloch_r_init,bloch_r_final
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.6250000000000001,0.4330127018922193,0.4330127018922193,0.6250000000000002,0.6250000000000002,1.0,0,1,0,False,0.5000000000000001,0.5000000000000001
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.7000000000000001,0.4330127018922193,0.458257569495584,0.6250000000000002,0.8200000000000001,1.0583005244258363,1,1,1,False,0.5000000000000001,0.8
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.7439024390243902,0.4330127018922193,0.4940153439153437,0.6250000000000002,0.9759071980963712,1.1408795671733172,2,1,2,False,0.5000000000000001,0.975609756097561
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.7499238037183786,0.4330127018922193,0.4999238211386528,0.6250000000000002,0.9996952613205008,1.1545246108348304,3,1,3,False,0.5000000000000001,0.999695214873514
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.7499999883847138,0.4330127018922193,0.499999988384714,0.6250000000000002,0.999999953538856,1.1547005115548976,4,1,4,False,0.5000000000000001,0.9999999535388548
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.7499999999999999,0.4330127018922193,0.4999999999999996,0.6250000000000002,0.9999999999999992,1.1547005383792508,5,1,5,False,0.5000000000000001,0.999999999999999
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.75,0.4330127018922193,0.4999999999999999,0.6250000000000002,1.0,1.1547005383792517,6,1,6,False,0.5000000000000001,1.0
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.75,0.4330127018922193,0.4999999999999999,0.6250000000000002,1.0,1.1547005383792517,7,1,7,False,0.5000000000000001,1.0
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.75,0.4330127018922193,0.4999999999999999,0.6250000000000002,1.0,1.1547005383792517,8,1,8,False,0.5000000000000001,1.0
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.75,0.4330127018922193,0.4999999999999999,0.6250000000000002,1.0,1.1547005383792517,9,1,9,False,0.5000000000000001,1.0
M1_N2_dephase_z_iid_p_p0.50000,1,2,dephase_z,iid_p,0.5,0.5,0.6250000000000001,0.75,0.4330127018922193,0.4999999999999999,0.6250000000000002,1.0,1.1547005383792517,10,1,10,False,0.5000000000000001,1.0
M1_N2_dephase_z_iid_p_p0.60000,1,2,dephase_z,iid_p,0.6,0.6,0.5499999999999999,0.5499999999999999,0.5196152422706632,0.5196152422706632,0.64,0.64,1.0,0,1,0,False,0.5291502622129182,0.5291502622129182
