noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,2,1024,0.9,0,1,10,11,10.0,1023,0,0.05177792951070592,0.05177792951070592,0.05177792951070592,102.4,[10],True,Depolarizing_d2_delta0.900
depolarizing,3,8,0.01,0,1,3,4,3.0,7,0,0.0008481009099639003,0.0008481009099639003,0.0008481009099639003,2.6666666666666665,[3],True,Depolarizing_d3_delta0.010
depolarizing,3,8,0.1,0,1,3,4,3.0,7,0,0.00999514756656709,0.00999514756656709,0.00999514756656709,2.6666666666666665,[3],True,Depolarizing_d3_delta0.100
depolarizing,3,8,0.2,0,1,3,4,3.0,7,0,0.02433122376564441,0.02433122376564441,0.02433122376564441,2.6666666666666665,[3],True,Depolarizing_d3_delta0.200
depolarizing,3,8,0.3,0,1,3,4,3.0,7,0,0.04512840107854199,0.04512840107854199,0.04512840107854199,2.6666666666666665,[3],True,Depolarizing_d3_delta0.300
depolarizing,3,8,0.4,0,1,3,4,3.0,7,0,0.07558219207973409,0.07558219207973409,0.07558219207973409,2.6666666666666665,[3],True,Depolarizing_d3_delta0.400
depolarizing,3,8,0.5,0,1,3,4,3.0,7,0,0.12028117260155231,0.12028117260155231,0.12028117260155231,2.6666666666666665,[3],True,Depolarizing_d3_delta0.500
depolarizing,3,8,0.7,0,1,3,4,3.0,7,0,0.27562482882309897,0.27562482882309897,0.27562482882309897,2.6666666666666665,[3],True,Depolarizing_d3_delta0.700
depolarizing,3,8,0.8,0,1,3,4,3.0,7,0,0.3932372779824493,0.3932372779824493,0.3932372779824493,2.6666666666666665,[3],True,Depolarizing_d3_delta0.800
depolarizing,3,8,0.9,0,1,3,4,3.0,7,0,0.5296889804138605,0.5296889804138605,0.5296889804138605,2.6666666666666665,[3],True,Depolarizing_d3_delta0.900
depolarizing,3,16,0.01,0,1,4,5,4.0,15,0,0.00042459014000647183,0.00042459014000647183,0.00042459014000647183,4.0,[4],True,Depolarizing_d3_delta0.010
depolarizing,3,16,0.1,0,1,4,5,4.0,15,0,0.00507287355035609,0.00507287355035609,0.00507287355035609,4.0,[4],True,Depolarizing_d3_delta0.100
