run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,error_reduction_ratio,max_depth
M4_N64_depolarizing_iid_p_d0.01000,4,64,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.972231593978682,0.0198504993749994,0.0282803077497388,1.424664801398204,6
M4_N64_depolarizing_iid_p_d0.10000,4,64,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7522494934070086,0.1854937499999995,0.2519112583728685,1.3580579311856555,6
M4_N64_depolarizing_iid_p_d0.50000,4,64,depolarizing,iid_p,0.5,0.375,0.31640625,0.2320614562753168,0.6835937499999998,0.7753022064688099,1.1341563706058022,6
M4_N64_depolarizing_iid_p_d0.70000,4,64,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1312248702910148,0.8214937499999997,0.8748004711691251,1.064889989934951,6
M4_N64_depolarizing_iid_p_d0.80000,4,64,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.100487821564793,0.8703999999999998,0.9048769613721148,1.039610479517595,6
M4_N64_depolarizing_iid_p_d0.90000,4,64,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0783578716288212,0.9084937499999992,0.9264588172742306,1.0197745634179998,6
M4_N64_depolarizing_iid_p_d0.95000,4,64,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0697641836537348,0.9240308593749996,0.9348318618247662,1.0116890062059962,6
M4_N64_depolarizing_iid_p_d0.99000,4,64,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0638562383539208,0.934962249375,0.9405912705138167,1.006020586545157,6
M4_N128_depolarizing_iid_p_d0.01000,4,128,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.9707157962613792,0.0198504993749994,0.0299327414434682,1.50790873710546,7
M4_N128_depolarizing_iid_p_d0.10000,4,128,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7408152248787652,0.1854937499999995,0.2643625066833279,1.4251828252074723,7
M4_N128_depolarizing_iid_p_d0.50000,4,128,depolarizing,iid_p,0.5,0.375,0.31640625,0.2191091889483224,0.6835937499999998,0.789583820473167,1.1550483316636049,7
M4_N128_depolarizing_iid_p_d0.70000,4,128,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1243918059762503,0.8214937499999997,0.8828562797921473,1.0746962831940567,7
M4_N128_depolarizing_iid_p_d0.80000,4,128,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.0963461706032572,0.8703999999999998,0.9102765213635404,1.0458140181106854,7
M4_N128_depolarizing_iid_p_d0.90000,4,128,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0764946669737686,0.9084937499999992,0.92966571953066,1.023304474610487,7
M4_N128_depolarizing_iid_p_d0.95000,4,128,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0688826295866347,0.9240308593749996,0.9371154073774254,1.0141602933166929,7
M4_N128_depolarizing_iid_p_d0.99000,4,128,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0636876746152629,0.934962249375,0.9422146282339596,1.0077568681129188,7
M4_N256_depolarizing_iid_p_d0.01000,4,256,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.9692023618109508,0.0198504993749994,0.031570825270259,1.5904297757879364,8
M4_N256_depolarizing_iid_p_d0.10000,4,256,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7295547583908315,0.1854937499999995,0.2765032082759138,1.4906335565263766,8
M4_N256_depolarizing_iid_p_d0.50000,4,256,depolarizing,iid_p,0.5,0.375,0.31640625,0.2068798388674858,0.6835937499999998,0.8027734255517109,1.1743428396642177,8
M4_N256_depolarizing_iid_p_d0.70000,4,256,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1179145489701627,0.8214937499999997,0.8903202572691228,1.083782143527109,8
M4_N256_depolarizing_iid_p_d0.80000,4,256,depolarizing,iid_p,0.8,0.6000000000000001,0.1295999999999998,0.0923752196571071,0.8703999999999998,0.9153685485322742,1.0516642331482933,8
M4_N256_depolarizing_iid_p_d0.90000,4,256,depolarizing,iid_p,0.9,0.675,0.0915062499999998,0.0746757658649258,0.9084937499999992,0.9328120558773226,1.0267677195108094,8
M4_N256_depolarizing_iid_p_d0.95000,4,256,depolarizing,iid_p,0.95,0.7124999999999999,0.075969140625,0.0680122150116425,0.9240308593749996,0.9394409118369584,1.0166769889832272,8
M4_N256_depolarizing_iid_p_d0.99000,4,256,depolarizing,iid_p,0.99,0.7424999999999999,0.065037750625,0.0635195558407105,0.934962249375,0.9439507786278108,1.0096137884270937,8
M4_N512_depolarizing_iid_p_d0.01000,4,512,depolarizing,iid_p,0.01,0.0075,0.9801495006249996,0.9673117909864896,0.0198504993749994,0.0337380811209132,1.6996086840719131,9
M4_N512_depolarizing_iid_p_d0.10000,4,512,depolarizing,iid_p,0.1,0.075,0.8145062499999998,0.7156381432591545,0.1854937499999995,0.2924797648177918,1.5767634479209816,9
M4_N512_depolarizing_iid_p_d0.50000,4,512,depolarizing,iid_p,0.5,0.375,0.31640625,0.194083417031833,0.6835937499999998,0.8179544950508156,1.1965505756171937,9
M4_N512_depolarizing_iid_p_d0.70000,4,512,depolarizing,iid_p,0.7,0.5249999999999999,0.1785062499999999,0.1121160752471826,0.8214937499999997,0.8979529017564885,1.0930733213204469,9
