noise_type,dimension,N,physical_error_rates,best_final_errors,average_final_errors,output_counts,memory_usage,convergence_mask,estimated_threshold
depolarizing,3,32,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0025557861385566336, 0.005394808228749974, 0.009386635091645834, 0.0151398724756416, 0.023677596434099984, 0.03677809752055613, 0.05761716935910832, 0.09190351219509567, 0.14941972891899255, 0.244023818414926, 0.38533687106820347, 0.5582300606783083]","[0.0025557861385566336, 0.005394808228749974, 0.009386635091645834, 0.0151398724756416, 0.023677596434099984, 0.03677809752055613, 0.05761716935910832, 0.09190351219509567, 0.14941972891899255, 0.244023818414926, 0.38533687106820347, 0.5582300606783083]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,64,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0012827983537557024, 0.0027192907991211435, 0.004759707886951237, 0.007743139175114007, 0.01226418504494157, 0.019421799864641764, 0.0313677401112582, 0.05256089366270348, 0.0925736393706107, 0.17098739175372132, 0.31650299175408936, 0.5285386724980807]","[0.0012827983537557024, 0.0027192907991211435, 0.004759707886951237, 0.007743139175114007, 0.01226418504494157, 0.019421799864641764, 0.0313677401112582, 0.05256089366270348, 0.0925736393706107, 0.17098739175372132, 0.31650299175408936, 0.5285386724980807]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,128,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0006426341466819382, 0.0013651988365426988, 0.0023968853968413897, 0.003916710147100637, 0.006245587572660287, 0.009996523933057425, 0.01643319925765267, 0.028405259237530123, 0.05299457196521673, 0.10905922197804196, 0.24161397230645307, 0.4906304085390083]","[0.0006426341466819382, 0.0013651988365426988, 0.0023968853968413897, 0.003916710147100637, 0.006245587572660287, 0.009996523933057425, 0.01643319925765267, 0.028405259237530123, 0.05299457196521673, 0.10905922197804196, 0.24161397230645307, 0.4906304085390083]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,256,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0003216269068166966, 0.000683998197670436, 0.0012027566507426535, 0.001969883024557436, 0.0031521403786224, 0.005073582524150133, 0.00842078708495686, 0.014816237413379193, 0.028657734188359745, 0.06390217580713446, 0.16879399743913726, 0.44280490664176025]","[0.0003216269068166966, 0.000683998197670436, 0.0012027566507426535, 0.001969883024557436, 0.0031521403786224, 0.005073582524150133, 0.00842078708495686, 0.014816237413379193, 0.028657734188359745, 0.06390217580713446, 0.16879399743913726, 0.44280490664176025]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,512,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.00016089104878314053, 0.00034235010894908174, 0.0006024639451245317, 0.0009878547052935005, 0.0015835339072412709, 0.0025561460410898165, 0.004263798739243614, 0.007573969678957478, 0.014953506540159145, 0.03510790969123271, 0.10734527642763547, 0.3839838728635698]","[0.00016089104878314053, 0.00034235010894908174, 0.0006024639451245317, 0.0009878547052935005, 0.0015835339072412709, 0.0025561460410898165, 0.004263798739243614, 0.007573969678957478, 0.014953506540159145, 0.03510790969123271, 0.10734527642763547, 0.3839838728635698]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,3,1024,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[8.046494040040801e-05, 0.00017126297221659037, 0.0003015042766433644, 0.0004946596066586947, 0.0007936491262274803, 0.001282979687510825, 0.002145563360170281, 0.0038301709035787703, 0.007645702952062017, 0.01849429566781328, 0.0627466768123502, 0.314964500472857]","[8.046494040040801e-05, 0.00017126297221659037, 0.0003015042766433644, 0.0004946596066586947, 0.0007936491262274803, 0.001282979687510825, 0.002145563360170281, 0.0038301709035787703, 0.007645702952062017, 0.01849429566781328, 0.0627466768123502, 0.314964500472857]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,8,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.011251116871142247, 0.023215866664473228, 0.03920217802244999, 0.06073685623449415, 0.08991874058922972, 0.12951164386789002, 0.18284669300281392, 0.25324616700868996, 0.3426178930513433, 0.4492592373348242, 0.5660935491734336, 0.6815984203266767]","[0.011251116871142247, 0.023215866664473228, 0.03920217802244999, 0.06073685623449415, 0.08991874058922972, 0.12951164386789002, 0.18284669300281392, 0.25324616700868996, 0.3426178930513433, 0.4492592373348242, 0.5660935491734336, 0.6815984203266767]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,16,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.005710423099096612, 0.0119713873447638, 0.02064541740001183, 0.03290062331574706, 0.0505826046700969, 0.07661747068930747, 0.11554759998385478, 0.1739206512054243, 0.2594657966476954, 0.3768712248211542, 0.5195865586597923, 0.6658427602121828]","[0.005710423099096612, 0.0119713873447638, 0.02064541740001183, 0.03290062331574706, 0.0505826046700969, 0.07661747068930747, 0.11554759998385478, 0.1739206512054243, 0.2594657966476954, 0.3768712248211542, 0.5195865586597923, 0.6658427602121828]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,32,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.002877012787612765, 0.0060818059404533775, 0.010609776004468774, 0.017183673402973693, 0.027039333686429384, 0.042367385686686465, 0.06716157262867045, 0.10871760601526403, 0.17946328862658684, 0.29548991075178, 0.46152525628448876, 0.646019541543922]","[0.002877012787612765, 0.0060818059404533775, 0.010609776004468774, 0.017183673402973693, 0.027039333686429384, 0.042367385686686465, 0.06716157262867045, 0.10871760601526403, 0.17946328862658684, 0.29548991075178, 0.46152525628448876, 0.646019541543922]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
depolarizing,4,64,"[0.1, 0.17727272727272728, 0.2545454545454545, 0.3318181818181818, 0.40909090909090906, 0.48636363636363633, 0.5636363636363636, 0.6409090909090909, 0.7181818181818181, 0.7954545454545454, 0.8727272727272727, 0.95]","[0.0014440324590539455, 0.0030656367097723347, 0.005380329551804869, 0.008790370252602459, 0.014013609289974083, 0.022405301166369074, 0.03668614544472559, 0.06264579475691692, 0.11294367651228701, 0.2127876792342485, 0.3912887387590781, 0.6209454357570008]","[0.0014440324590539455, 0.0030656367097723347, 0.005380329551804869, 0.008790370252602459, 0.014013609289974083, 0.022405301166369074, 0.03668614544472559, 0.06264579475691692, 0.11294367651228701, 0.2127876792342485, 0.3912887387590781, 0.6209454357570008]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","[True, True, True, True, True, True, True, True, True, True, True, True]",0.95
