run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,num_noise_realizations,error_message
batch_M2_N16_p0.1000_dephasing,2,16,0.1,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2418 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2418 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.2000_depolarizing,2,16,0.2,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2420 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2420 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.2000_dephasing,2,16,0.2,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2422 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2422 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.3000_depolarizing,2,16,0.3,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2424 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2424 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.3000_dephasing,2,16,0.3,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2426 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2426 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.4000_depolarizing,2,16,0.4,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2428 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2428 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.4000_dephasing,2,16,0.4,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2430 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2430 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.5000_depolarizing,2,16,0.5,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2432 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2432 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.5000_dephasing,2,16,0.5,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2434 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2434 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.6000_depolarizing,2,16,0.6,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2436 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2436 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.6000_dephasing,2,16,0.6,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2438 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2438 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.7000_depolarizing,2,16,0.7,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2440 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2440 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.7000_dephasing,2,16,0.7,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2442 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2442 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.8000_depolarizing,2,16,0.8,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2444 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2444 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.8000_dephasing,2,16,0.8,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2446 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2446 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.9000_depolarizing,2,16,0.9,depolarizing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2448 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2448 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
batch_M2_N16_p0.9000_dephasing,2,16,0.9,dephasing,4,47,-1.0,-1.0,8192,aer_simulator,-1,-1,8,"'ERROR:  [Experiment 0] Insufficient memory to run circuit circuit-2450 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M ,  ERROR: Insufficient memory to run circuit circuit-2450 using the statevector simulator. Required memory: 2147483648M, max memory: 65536M'"
