run_id,M,N,p,noise_type,purification_rounds,estimated_qubits,final_fidelity,swap_success_probability,total_shots,backend_name,circuit_depth,circuit_qubits,num_noise_realizations,error_message
batch_M2_N8_p0.4000_dephasing,2,8,0.4,dephasing,3,23,0.3669296987,0.3403320313,8192,ibm_torino,15,23,8,
batch_M2_N8_p0.5000_depolarizing,2,8,0.5,depolarizing,3,23,0.4143028366,0.3055419922,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.5000_dephasing,2,8,0.5,dephasing,3,23,0.2791149068,0.314453125,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.6000_depolarizing,2,8,0.6,depolarizing,3,23,0.2094180704,0.3188476563,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.6000_dephasing,2,8,0.6,dephasing,3,23,0.07213930348,0.3435058594,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.7000_depolarizing,2,8,0.7,depolarizing,3,23,0.171875,0.296875,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.7000_dephasing,2,8,0.7,dephasing,3,23,0.02680221811,0.2641601563,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.8000_depolarizing,2,8,0.8,depolarizing,3,23,0.1979774407,0.3138427734,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.8000_dephasing,2,8,0.8,dephasing,3,23,0.03499520614,0.2546386719,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.9000_depolarizing,2,8,0.9,depolarizing,3,23,0.3266915733,0.2940673828,8192,ibm_torino,16,23,8,
batch_M2_N8_p0.9000_dephasing,2,8,0.9,dephasing,3,23,0.02598457166,0.3006591797,8192,ibm_torino,16,23,8,
batch_M2_N16_p0.1000_depolarizing,2,16,0.1,depolarizing,4,47,0.6661157025,0.04923502604,12288,ibm_torino,19,47,8,
batch_M2_N16_p0.1000_dephasing,2,16,0.1,dephasing,4,47,0.5796915167,0.03998766447,19456,ibm_torino,19,47,8,
batch_M2_N16_p0.2000_depolarizing,2,16,0.2,depolarizing,4,47,0.3839590444,0.02601207386,22528,ibm_torino,19,47,8,
batch_M2_N16_p0.2000_dephasing,2,16,0.2,dephasing,4,47,0.4546783626,0.04771205357,14336,ibm_torino,19,47,8,
batch_M2_N16_p0.3000_depolarizing,2,16,0.3,depolarizing,4,47,0.4205933682,0.03108723958,18432,ibm_torino,19,47,8,
batch_M2_N16_p0.3000_dephasing,2,16,0.3,dephasing,4,47,0.3691460055,0.03544921875,20480,ibm_torino,19,47,8,
batch_M2_N16_p0.4000_depolarizing,2,16,0.4,depolarizing,4,47,0.4561403509,0.04174804688,16384,ibm_torino,19,47,8,
batch_M2_N16_p0.4000_dephasing,2,16,0.4,dephasing,4,47,0.4093655589,0.03591579861,18432,ibm_torino,19,47,8,
